"Bug编号","所属产品","所属模块","所属执行","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"2240","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[MTFilterDataFieldItemModel reachabilityChanged:]: unrecognized selector sent to instance 0x28286dbc0","","1-Low","3","代码错误","","","当前展示的视图控制器:JHTabBarController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[MTFilterDataFieldItemModel reachabilityChanged:]: unrecognized selector sent to instance 0x28286dbc0

#0 CoreFoundation 000000000193482DC0 ()
#1 libobjc.A.dylib 0000000001A7FDF7A8 objc_exception_throw()
#2 CoreFoundation 0000000001933862D0 -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 000000000193485918 ()
#4 CoreFoundation 000000000193487C10 _CF_forwarding_prep_0()
#5 JHUniversalApp 0000000001039A8D50 -[Reachability startNotifier]
#6 SystemConfiguration 000000000193941DAC ()
#7 SystemConfiguration 0000000001939426F4 ()
#8 libnetwork.dylib 0000000001940F4A54 ()
#9 libdispatch.dylib 00000000019306DA84 ()
#10 libdispatch.dylib 00000000019306F81C ()
#11 libdispatch.dylib 000000000193077004 ()
#12 libdispatch.dylib 000000000193077C00 ()
#13 libdispatch.dylib 0000000001930824BC ()
#14 libsystem_pthread.dylib 0000000001DF2627A4 _pthread_wqthread()
#15 libsystem_pthread.dylib 0000000001DF26974C start_wqthread()

","已解决","0000-00-00","0","是","","余朝阳","2022-02-28 14:19:46","主干(#trunk)","余朝阳","2022-02-28 14:30:11","余朝阳","已解决","主干(#trunk)","2022-02-28 14:30:00","","0000-00-00 00:00:00","0","","","余朝阳","2022-02-28 14:30:11","",""
"2239","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[_NSCoreDataTaggedObjectID containsKey:]: unrecognized selector sent to instance 0xbcb013da683e1e91","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreNewMapViewController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[_NSCoreDataTaggedObjectID containsKey:]: unrecognized selector sent to instance 0xbcb013da683e1e91

#0 CoreFoundation 000000000180DF10FC ()
#1 libobjc.A.dylib 000000000199641D64 objc_exception_throw()
#2 CoreFoundation 000000000180ECE0C4 +[NSObject _copyDescription]
#3 CoreFoundation 000000000180D86524 ()
#4 CoreFoundation 000000000180D85660 -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 CoreFoundation 000000000180DAB984 CFDictionaryContainsKey()
#6 CFNetwork 0000000001815B1C4C -[__NSCFURLSessionTaskInfo pathToDownloadTaskFile]
#7 CFNetwork 0000000001815A61BC -[NSURLSessionTask _preventsAppSSO]
#8 CFNetwork 0000000001815B7880 -[NSURLCache dealloc]
#9 CFNetwork 0000000001815C49C4 -[NSURLSessionConfiguration _allowsMultipathTCP]
#10 CFNetwork 00000000018159F8C8 +[_NSCFURLProtocol canonicalRequestForRequest:task:]
#11 CFNetwork 00000000018167E1A4 +[_NSCFURLProtocol canonicalRequestForRequest:]
#12 CFNetwork 0000000001815F5130 -[__NSURLSessionLocal copyWithZone:]
#13 CFNetwork 0000000001815F52BC -[__NSURLSessionLocal copyWithZone:]
#14 CFNetwork 000000000181653294 CFURLCacheCreate()
#15 CFNetwork 0000000001815A20A4 -[NSURLSessionConfiguration _supportsAVAssetDownloads]
#16 CFNetwork 0000000001815DF48C +[AVAssetDownloadURLSession sessionWithConfiguration:assetDownloadDelegate:delegateQueue:]
#17 CFNetwork 0000000001815A8094 -[NSURLSessionTaskTransactionMetrics .cxx_destruct]
#18 CFNetwork 0000000001815DCE18 -[NSURLSessionTask _withXURLCache:]
#19 CFNetwork 00000000018159D8BC -[NSURLRequest HTTPShouldHandleCookies]
#20 CFNetwork 0000000001815BFC8C -[NSURLSessionConfiguration shouldUseExtendedBackgroundIdleMode]
#21 CFNetwork 00000000018157CAE4 +[NSHTTPCookie _cf2nsCookies:]
#22 CFNetwork 000000000181591B8C -[NSURLSessionTask setTaskDescription:]
#23 libdispatch.dylib 000000000180A72454 ()
#24 libdispatch.dylib 000000000180A63670 ()
#25 libdispatch.dylib 000000000180A6ADF4 ()
#26 libdispatch.dylib 000000000180A6B99C ()
#27 libdispatch.dylib 000000000180A761B8 ()
#28 libsystem_pthread.dylib 0000000001F216B0F4 _pthread_wqthread()
#29 libsystem_pthread.dylib 0000000001F216AE94



","已解决","0000-00-00","0","是","","余朝阳","2022-02-28 14:18:46","主干(#trunk)","余朝阳","2022-02-28 14:31:35","余朝阳","已解决","主干(#trunk)","2022-02-28 14:31:13","","0000-00-00 00:00:00","0","","","余朝阳","2022-02-28 14:31:35","",""
"2235","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[MTFilterDataFieldItemModel reachabilityChanged:]: unrecognized selector sent to instance","","1-Low","3","代码错误","","","当前展示的视图控制器:JHTabBarController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[MTFilterDataFieldItemModel reachabilityChanged:]: unrecognized selector sent to instance 0x28286dbc0

#0 CoreFoundation 000000000193482DC0 ()
#1 libobjc.A.dylib 0000000001A7FDF7A8 objc_exception_throw()
#2 CoreFoundation 0000000001933862D0 -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 000000000193485918 ()
#4 CoreFoundation 000000000193487C10 _CF_forwarding_prep_0()
#5 JHUniversalApp 0000000001039A8D50 -[Reachability startNotifier]
#6 SystemConfiguration 000000000193941DAC ()
#7 SystemConfiguration 0000000001939426F4 ()
#8 libnetwork.dylib 0000000001940F4A54 ()
#9 libdispatch.dylib 00000000019306DA84 ()
#10 libdispatch.dylib 00000000019306F81C ()
#11 libdispatch.dylib 000000000193077004 ()
#12 libdispatch.dylib 000000000193077C00 ()
#13 libdispatch.dylib 0000000001930824BC ()
#14 libsystem_pthread.dylib 0000000001DF2627A4 _pthread_wqthread()
#15 libsystem_pthread.dylib 0000000001DF26974C start_wqthread()





  
","已解决","0000-00-00","0","是","","霍曙光","2022-02-28 14:17:27","主干(#trunk)","霍曙光","2022-03-01 10:56:52","余朝阳","已解决","主干(#trunk)","2022-03-01 10:56:41","","0000-00-00 00:00:00","0","","","余朝阳","2022-03-01 10:56:52","",""
"2232","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","Set contentURL after setting controls.","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreMapViewController

最后实例化的视图控制器:VAListeningStoryViewController

2.6.0.121413 name:ALMoviePlayerController Exception
reason:Set contentURL after setting controls.

#0 CoreFoundation 00000000018E9F59D8 ()
#1 libobjc.A.dylib 0000000001A2D7BB54 objc_exception_throw()
#2 CoreFoundation 00000000018E9066E4 -[NSObject isNSSet__]
#3 JHUniversalApp 000000000102AD9DA0 -[VAALMoviePlayerController setContentURL:]
#4 MediaPlayer 000000000195B33530 -[MPMoviePlayerController initWithContentURL:]
#5 JHUniversalApp 000000000102AD9854 -[VAALMoviePlayerController initWithFrame:]
#6 JHUniversalApp 000000000102AD965C -[VAALMoviePlayerController init]
#7 JHUniversalApp 000000000102A86500 -[VACGlodalManager Build]
#8 JHUniversalApp 00000000010262D0EC +[TLNewsHomepage myInit]
#9 JHUniversalApp 00000000010373C8C8 -[AppDelegate initialize]
#10 JHUniversalApp 000000000103742EFC -[AppDelegate application:didFinishLaunchingWithOptions:]
#11 UIKitCore 00000000019125C8C0 -[UIApplication _handleDelegateCallbacksWithOptions:isSuspended:restoreState:]
#12 UIKitCore 00000000019125E860 -[UIApplication _callInitializationDelegatesWithActions:forCanvas:payload:fromOriginatingProcess:]
#13 UIKitCore 000000000191263F48 -[UIApplication _runWithMainScene:transitionContext:completion:]
#14 UIKitCore 000000000190939164 -[_UISceneLifecycleMultiplexer completeApplicationLaunchWithFBSScene:transitionContext:]
#15 UIKitCore 000000000190E622B0 _UIScenePerformActionsWithLifecycleActionMask()
#16 UIKitCore 000000000190939C4C ()
#17 UIKitCore 0000000001909396A0 -[_UISceneLifecycleMultiplexer _performBlock:withApplicationOfDeactivationReasons:fromReasons:]
#18 UIKitCore 000000000190939A78 -[_UISceneLifecycleMultiplexer _evalTransitionToSettings:fromSettings:forceExit:withTransitionStore:]
#19 UIKitCore 000000000190939334 -[_UISceneLifecycleMultiplexer uiScene:transitionedFromState:withTransitionContext:]
#20 UIKitCore 000000000190940FE0 ()
#21 UIKitCore 000000000190D7B1C4 +[BSAnimationSettings tryAnimatingWithSettings:actions:completion:]
#22 UIKitCore 000000000190E799D8 _UISceneSettingsDiffActionPerformChangesWithTransitionContext()
#23 UIKitCore 000000000190940CD4 -[_UIWindowSceneFBSSceneTransitionContextDrivenLifecycleSettingsDiffAction _performActionsForUIScene:withUpdatedFBSScene:settingsDiff:fromSettings:transitionContext:lifecycleActionType:]
#24 UIKitCore



  
","已解决","0000-00-00","0","是","","霍曙光","2022-02-28 14:15:50","主干(#trunk)","霍曙光","2022-02-28 14:33:37","余朝阳","已解决","主干(#trunk)","2022-02-28 14:33:00","","0000-00-00 00:00:00","0","","","余朝阳","2022-02-28 14:33:37","",""
"2227","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","+[NSJSONSerialization dataWithJSONObject:options:error:]: Invalid","","1-Low","3","代码错误","","","当前展示的视图控制器:JHCSRotationImageViewController

最后实例化的视图控制器:JHCSRotationImageViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:*** +[NSJSONSerialization dataWithJSONObject:options:error:]: Invalid top-level type in JSON write

#0 CoreFoundation 0000000001814F805C ()
#1 libobjc.A.dylib 000000000199A12F54 objc_exception_throw()
#2 Foundation 000000000182CFDEAC ()
#3 JHUniversalApp 0000000001016F38F4 -[JHLivePlayLibrary.LiveEvaluationVC initWithCoder:]
#4 JHUniversalApp 0000000001016F34C8 -[JHLivePlayLibrary.LiveEvaluationVC initWithCoder:]
#5 JHUniversalApp 0000000001039BE4D0 -[JHBase.JHBaseInfo .cxx_destruct]
#6 JHUniversalApp 0000000001039C30F4 -[JHBase.JHBaseInfo .cxx_destruct]
#7 JHUniversalApp 0000000001038A5B08 -[Kingfisher.AnimatedImageView initWithCoder:]
#8 JHUniversalApp 000000000103839864 -[Kingfisher.AnimatedImageView initWithCoder:]
#9 libdispatch.dylib 000000000181168C04 ()
#10 libdispatch.dylib 00000000018116A950 ()
#11 libdispatch.dylib 000000000181178D30 _dispatch_main_queue_callback_4CF()
#12 CoreFoundation 0000000001814B0CE4 ()
#13 CoreFoundation 00000000018146AEBC ()
#14 CoreFoundation 00000000018147E3C8 CFRunLoopRunSpecific()
#15 GraphicsServices 00000000019CC8F38C GSEventRunModal()
#16 UIKitCore 000000000183E240BC -[UIApplication _run]
#17 UIKitCore 000000000183BA1BE8 UIApplicationMain()
#18 JHUniversalApp 0000000001033B00D8 -[VAUIFooterView .cxx_destruct]
#19 dyld 000000000106891A24 start()



  
","已解决","0000-00-00","0","是","","霍曙光","2022-02-28 14:08:39","主干(#trunk)","霍曙光","2022-02-28 16:26:14","余朝阳","已解决","主干(#trunk)","2022-02-28 16:26:03","","0000-00-00 00:00:00","0","","","余朝阳","2022-02-28 16:26:14","",""
"2224","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[__NSCFConstantString objectAtIndex:]: unrecognized selector sent","","1-Low","3","代码错误","","","当前展示的视图控制器:JHMessageCenterShellMainViewController

最后实例化的视图控制器:JHMessageTableViewController

2.6.0.122610 name:NSInvalidArgumentException
reason:-[__NSCFConstantString objectAtIndex:]: unrecognized selector sent to instance 0x10658d960

#0 CoreFoundation 00000000018FE8B928 ()
#1 libobjc.A.dylib 0000000001A3C2A480 objc_exception_throw()
#2 CoreFoundation 00000000018FD9A960 -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 00000000018FE8DF84 ()
#4 CoreFoundation 00000000018FE8FF2C _CF_forwarding_prep_0()
#5 JHUniversalApp 0000000001050D7E08 -[H5FileDownloadLibary alertView:clickedButtonAtIndex:]
#6 UIKitCore 000000000191C1E4D8 -[UIAlertView _prepareToDismissForTappedIndex:]
#7 UIKitCore 000000000191C1E018 ()
#8 UIKitCore 000000000191C64A34 -[UIAlertController _dismissAnimated:triggeringAction:triggeredByPopoverDimmingView:dismissCompletion:]
#9 UIKitCore 000000000191C86520 -[_UIAlertControllerView interfaceAction:invokeActionHandler:completion:]
#10 UIKitCore 000000000191C2C2E0 -[UIInterfaceActionGroupView interfaceAction:invokeActionHandler:completion:]
#11 UIKitCore 000000000191C282C0 -[UIInterfaceAction _invokeHandlerWithCompletionBlock:]
#12 UIKitCore 000000000191C33AAC -[UIInterfaceActionSelectionTrackingController _handleActionSelectionGestureRecognizer:]
#13 UIKitCore 0000000001922B093C ()
#14 UIKitCore 0000000001922B9E78 ()
#15 UIKitCore 0000000001922B6AE8 ()
#16 UIKitCore 0000000001922B60B0 ()
#17 UIKitCore 0000000001922AA718 ()
#18 UIKitCore 0000000001922A9AA8 ()
#19 UIKitCore 000000000192773D90 -[UIWindow sendEvent:]
#20 UIKitCore 00000000019274F9D8 -[UIApplication sendEvent:]
#21 UIKitCore 0000000001927D2DB4 ()
#22 UIKitCore 0000000001927D75D8 ()
#23 UIKitCore 0000000001927CE8C4 ()
#24 CoreFoundation 00000000018FE0AFA8 ()
#25 CoreFoundation 00000000018FE0AEA8 ()
#26 CoreFoundation 00000000018FE0A1FC ()
#27 CoreFoundation 00000000018FE04718 ()
#28 CoreFoundation 00000000018FE03ED0 CFRunLoopRunSpecific()
#29 GraphicsServices 0000000001A654F570 GSEventRunModal()
#30 UIKitCore 0000000001927312D0 -[UIApplication _run]
#31 UIKitCore



  
","已解决","0000-00-00","0","是","","霍曙光","2022-02-28 14:04:19","主干(#trunk)","李宽","2022-02-28 15:10:17","李宽","已解决","主干(#trunk)","2022-02-28 15:09:31","","0000-00-00 00:00:00","0","","","李宽","2022-02-28 15:10:17","",""
"2213","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[CDEnLocation _mutate]: unrecognized selector sent to instance 0x280315090","","1-Low","3","代码错误","","","当前展示的视图控制器:JHMessageCenterShellMainViewController

最后实例化的视图控制器:JHCPlusLoginViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[CDEnLocation _mutate]: unrecognized selector sent to instance 0x280315090

#0 CoreFoundation 000000000180AD10FC ()
#1 libobjc.A.dylib 000000000199321D64 objc_exception_throw()
#2 CoreFoundation 000000000180BAE0C4 +[NSObject _copyDescription]
#3 CoreFoundation 000000000180A66524 ()
#4 CoreFoundation 000000000180A65660 _CF_forwarding_prep_0()
#5 CoreFoundation 000000000180ACA230 -[__NSOrderedSetM _mutate]
#6 CoreFoundation 000000000180A4B9D4 -[NSMutableOrderedSet removeObject:]
#7 UIKitCore 0000000001834EEDC4 +[UIViewPropertyAnimator _removeTrackingAnimator:forUUID:andDescription:]
#8 UIKitCore 000000000183482618 -[UIViewPropertyAnimator _clearAnimationState]
#9 UIKitCore 0000000001830AE208 ()
#10 UIKitCore 0000000001831A5DD0 -[UIViewAnimationBlockDelegate _didEndBlockAnimation:finished:context:]
#11 UIKitCore 0000000001830712E8 -[UIViewAnimationState sendDelegateAnimationDidStop:finished:]
#12 UIKitCore 000000000183085A5C -[UIViewAnimationState animationDidStop:finished:]
#13 QuartzCore 00000000018485AA08 ()
#14 libdispatch.dylib 000000000180743670 ()
#15 libdispatch.dylib 000000000180751B70 _dispatch_main_queue_callback_4CF()
#16 CoreFoundation 000000000180A89D84 ()
#17 CoreFoundation 000000000180A43F5C ()
#18 CoreFoundation 000000000180A57468 CFRunLoopRunSpecific()
#19 GraphicsServices 00000000019C5FB38C GSEventRunModal()
#20 UIKitCore 0000000001833FA5D0 -[UIApplication _run]
#21 UIKitCore 000000000183178F74 UIApplicationMain()
#22 JHUniversalApp 000000000104E48684 -[VAUIFooterView .cxx_destruct]
#23 dyld 000000000107545AA4 start()



  
","已解决","0000-00-00","0","是","","霍曙光","2022-02-28 10:10:44","主干(#trunk)","李宽","2022-02-28 14:17:57","李宽","已解决","主干(#trunk)","2022-02-28 14:15:29","","0000-00-00 00:00:00","0","","","李宽","2022-02-28 14:17:57","",""
"2102","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[CDEnLocation count]: unrecognized selector sent to instance 0x283ee5ea0","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreNewMapViewController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[CDEnLocation count]: unrecognized selector sent to instance 0x283ee5ea0

#0 CoreFoundation 00000000018A3A9344 ()
#1 libobjc.A.dylib 00000000018A0BECC0 objc_exception_throw()
#2 CoreFoundation 00000000018A2A8110 -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 00000000018A3ADB20 ()
#4 CoreFoundation 00000000018A3AFE10 _CF_forwarding_prep_0()
#5 CFNetwork 00000000018D7F5C70 -[CFNetworkTimer dealloc]
#6 CFNetwork 00000000018D6F71B0 _CFStreamErrorFromCFError()
#7 CFNetwork 00000000018D6DFA7C -[BadPasswordProxyAuthenticationURLDelegate URLSession:task:didReceiveChallenge:completionHandler:]
#8 CFNetwork 00000000018D68B1AC _CFURLRequestCreateArchiveList()
#9 CFNetwork 00000000018D698624 CFCachedURLResponseCopyWrappedRequest()
#10 libdispatch.dylib 00000000018A04A134 ()
#11 libdispatch.dylib 00000000018A04B5AC ()
#12 libdispatch.dylib 00000000018A051A64 ()
#13 libdispatch.dylib 00000000018A052498 ()
#14 libdispatch.dylib 00000000018A05BA5C ()
#15 libsystem_pthread.dylib 00000000018A0B1718 _pthread_wqthread()
#16 libsystem_pthread.dylib 00000000018A0B79C8 start_wqthread()



","已解决","0000-00-00","0","是","","余朝阳","2022-02-24 14:31:52","主干(#trunk)","余朝阳","2022-03-01 11:05:59","柴志勇","已解决","主干(#trunk)","2022-03-01 10:58:53","","0000-00-00 00:00:00","0","","","柴志勇","2022-03-01 11:05:59","",""
"2100","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","*** -[NSMutableIndexSet addIndexesInRange:]: Range {9223372036854775807, 1} exceeds maximum index value of NSNotFound - 1","","1-Low","3","代码错误","","","当前展示的视图控制器:JHTabBarController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSRangeException
reason:*** -[NSMutableIndexSet addIndexesInRange:]: Range {9223372036854775807, 1} exceeds maximum index value of NSNotFound - 1

#0 CoreFoundation 0000000001B8981654 ()
#1 libobjc.A.dylib 0000000001B86A3BCC objc_exception_throw()
#2 Foundation 0000000001B8C65830 -[NSIndexSet _indexOfRangeBeforeOrContainingIndex:]
#3 UIKitCore 0000000001BC9C296C -[UIPickerTableView selectRow:animated:notify:updateChecked:]
#4 UIKitCore 0000000001BC9CA6C8 -[UIPickerView _selectRow:inComponent:animated:notify:]
#5 JHUniversalApp 000000000104EFF400 -[JHECWalletDatePickerView rebackToFromDate]
#6 JHUniversalApp 000000000104EFF218 -[JHECWalletDatePickerView initDatePackerWithMinYear:selectedYear:selectedMonth:response:]
#7 JHUniversalApp 000000000104EE93A8 -[JHECWalletOrderListViewController tableView:viewForHeaderInSection:]
#8 JHUniversalApp 000000000104EE5224 -[JHECWalletOrderSectionView sectionDidTapped]
#9 UIKitCore 0000000001BC60DCA4 -[UIGestureRecognizerTarget _sendActionWithGestureRecognizer:]
#10 UIKitCore 0000000001BC61719C ()
#11 UIKitCore 0000000001BC613BF0 ()
#12 UIKitCore 0000000001BC613168 -[UIGestureRecognizer _updateGestureForActiveEvents]
#13 UIKitCore 0000000001BC606BD8 ()
#14 UIKitCore 0000000001BC606328 -[UIGestureEnvironment _deliverEvent:toGestureRecognizers:usingBlock:]
#15 UIKitCore 0000000001BC6060F4 -[UIGestureEnvironment _updateForEvent:window:]
#16 UIKitCore 0000000001BCA71C48 -[UIWindow sendEvent:]
#17 UIKitCore 0000000001BCA4D8EC -[UIApplication sendEvent:]
#18 UIKitCore 0000000001BCACE970 ()
#19 UIKitCore 0000000001BCAD14EC ()
#20 UIKitCore 0000000001BCAC9168 ()
#21 CoreFoundation 0000000001B88FFAD8 ()
#22 CoreFoundation 0000000001B88FFA30 ()
#23 CoreFoundation 0000000001B88FF1B8 ()
#24 CoreFoundation 0000000001B88FA1E8 ()
#25 CoreFoundation 0000000001B88F9BA8 CFRunLoopRunSpecific()
#26 GraphicsServices 0000000001C2A70344 GSEventRunModal()
#27 UIKitCore 0000000001BCA353E4 UIApplicationMain()
#28 JHUniversalApp 000000000105973DE8 -[VAUIFooterView .cxx_destruct]
#29 libdyld.dylib 0000000001B87818F0 ()

","已解决","0000-00-00","0","是","","余朝阳","2022-02-24 14:30:30","主干(#trunk)","杨峰","2022-02-25 10:10:45","杨峰","已解决","主干(#trunk)","2022-02-25 10:08:13","","0000-00-00 00:00:00","0","","","杨峰","2022-02-25 10:10:45","",""
"2099","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[__NSCFConstantString stringValue]: unrecognized selector sent to instance 0x1097c81a0","","1-Low","3","代码错误","","","当前展示的视图控制器:JHTabBarController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[__NSCFConstantString stringValue]: unrecognized selector sent to instance 0x1097c81a0

#0 CoreFoundation 0000000001A0160EC4 ()
#1 libobjc.A.dylib 00000000019F331A40 objc_exception_throw()
#2 CoreFoundation 0000000001A0079C24 -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 0000000001A01667DC ()
#4 CoreFoundation 0000000001A016848C -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 JHUniversalApp 000000000106CEE92C -[JHHistoryCommissionFilterView resetOriginalData]
#6 JHUniversalApp 000000000106CEE0B0 -[JHHistoryCommissionFilterView hideAnimation:]
#7 UIKitCore 0000000001CD3302D4 -[UIApplication sendAction:to:from:forEvent:]
#8 UIKitCore 0000000001CCDBDB94 -[UIControl sendAction:to:forEvent:]
#9 UIKitCore 0000000001CCDBDEB4 -[UIControl _sendActionsForEvents:withEvent:]
#10 UIKitCore 0000000001CCDBCEB4 -[UIControl touchesEnded:withEvent:]
#11 JHUniversalApp 00000000010770AE30 -[UIButton touchesEnded:withEvent:]
#12 UIKitCore 0000000001CCF44930 ()
#13 UIKitCore 0000000001CCF3F62C ()
#14 CoreFoundation 0000000001A00F07CC ()
#15 CoreFoundation 0000000001A00EB460 ()
#16 CoreFoundation 0000000001A00EBA00 ()
#17 CoreFoundation 0000000001A00EB1F0 CFRunLoopRunSpecific()
#18 GraphicsServices 0000000001A2364584 GSEventRunModal()
#19 UIKitCore 0000000001CD32EBC0 UIApplicationMain()
#20 JHUniversalApp 000000000107C0BDE8 -[VAUIFooterView .cxx_destruct]
#21 libdyld.dylib 00000000019FBAABB4 ()



","已解决","0000-00-00","0","是","","余朝阳","2022-02-24 14:28:29","主干(#trunk)","余朝阳","2022-02-28 11:12:58","余朝阳","已解决","主干(#trunk)","2022-02-28 11:09:20","","0000-00-00 00:00:00","0","","","余朝阳","2022-02-28 11:12:58","",""
"2098","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","*** -[AVCapturePhotoOutput capturePhotoWithSettings:delegate:] No active and enabled video connection","","1-Low","3","代码错误","","","当前展示的视图控制器:JHTabBarController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:*** -[AVCapturePhotoOutput capturePhotoWithSettings:delegate:] No active and enabled video connection

#0 CoreFoundation 000000000183236D3C ()
#1 libobjc.A.dylib 00000000019A5B06A8 objc_exception_throw()
#2 AVFCapture 0000000001A5FF6A0C -[AVCapturePhotoOutput capturePhotoWithSettings:delegate:]
#3 JHUniversalApp 000000000104E7605C -[SCPhotoManager takeStillPhoto:completion:]
#4 JHUniversalApp 000000000104EC1B30 -[SCCameraController takeStillPhotoAction:]
#5 JHUniversalApp 000000000104EA8618 -[SCCameraView photoClick:]
#6 UIKitCore 0000000001856D8D94 ()
#7 UIKitCore 0000000001856A2AC0 ()
#8 UIKitCore 00000000018566D4B8 ()
#9 UIKitCore 0000000001856A4D98 ()
#10 UIKitCore 00000000018565EF5C ()
#11 UIKitCore 000000000185691944 ()
#12 UIKitCore 00000000018569E2D8 -[UIWindow sendEvent:]
#13 UIKitCore 00000000018584163C -[UIApplication sendEvent:]
#14 UIKitCore 000000000185672E28 ()
#15 UIKitCore 000000000185667D74 ()
#16 UIKitCore 00000000018566D104 ()
#17 CoreFoundation 0000000001832572B0 ()
#18 CoreFoundation 0000000001832672D8 ()
#19 CoreFoundation 0000000001831AA678 ()
#20 CoreFoundation 0000000001831AFAA8 ()
#21 CoreFoundation 0000000001831C2E1C CFRunLoopRunSpecific()
#22 GraphicsServices 0000000001A35759A0 GSEventRunModal()
#23 UIKitCore 0000000001859F6B90 -[UIApplication _run]
#24 UIKitCore 00000000018578C16C UIApplicationMain()
#25 JHUniversalApp 00000000010671FDE8 -[VAUIFooterView .cxx_destruct]
#26 dyld 000000000109C24250 start()



","已解决","0000-00-00","0","是","","余朝阳","2022-02-24 14:27:49","主干(#trunk)","余朝阳","2022-02-28 16:45:04","李聪","无法重现","主干(#trunk)","2022-02-28 16:39:46","","0000-00-00 00:00:00","0","","","李聪","2022-02-28 16:45:04","",""
